decision_rule,threshold,accuracy,f1_macro,precision_pos,recall_pos,f1_pos,cost
CatBoost threshold 0.50,0.5,0.9858333333333333,0.8372017080413737,0.5449101796407185,0.91,0.6816479400749064,10520
CatBoost best threshold,0.15,0.9730833333333333,0.7659205292949913,0.3796477495107632,0.97,0.5457102672292545,6170
