model,accuracy,f1_macro,precision_pos,recall_pos,f1_pos,avg_precision_pos,cost
Dummy,0.9833333333333333,0.4957983193277311,0.0,0.0,0.0,,100000
Logistic Regression,0.9715833333333334,0.7501494554424342,0.35984095427435386,0.905,0.5149359886201992,0.7226434158244205,12720
CatBoost,0.9858333333333333,0.8372017080413737,0.5449101796407185,0.91,0.6816479400749064,0.8569611637363763,10520
